gene,mean_importance,std_importance,variance_in_data,rank
RPL3,0.0018378595196816942,0.00022349124237457,604182140.3134744,227
CTSD,0.0018348931040166204,0.0003556416844219597,106365501.77867635,228
YWHAQ,0.0018344220362920887,0.0018698352637606746,14408785.20597748,229
CYR61,0.0018321635538120936,0.0015104673515614344,18130672.043728203,230
ATP5B,0.0018211596681949847,0.0009264066490584018,57962535.55474765,231
DSP,0.0018153712263554017,0.0009465967476417572,26376076.680819113,232
PPP1CB,0.0018134962837472806,0.0012789887176084787,15541772.559685167,233
THSD4,0.0018112360149660466,0.0015065746839864865,52740043.31449995,234
SLC40A1,0.0018105869462346847,0.000729005043016038,38566942.443801,235
RPS17,0.0018039864527325978,0.0016499143790177201,141680967.7967181,236
IGFBP3,0.0018037415491465355,0.0012926057274753582,16132704.258161768,237
MAL2,0.0017998752552653493,0.0012961543113647251,41746719.52686962,238
GRB7,0.0017924895094178599,0.0013529850108730966,26776672.71755678,239
C1R,0.001790411179930249,0.0009658997323543727,13103417.236077039,240
SPINT2,0.0017901982963495439,0.0002840446607518578,384741526.9827013,241
RPL18,0.0017863214427446307,0.00039068577358714485,173843952.56900713,242
GAS6,0.0017750700325435086,0.00021901442100430869,34642279.10720354,243
TNFAIP2,0.0017723699555268607,0.001181477815663498,57825487.3279151,244
DUSP1,0.0017678814369648324,0.0016613157543783142,31375290.251068655,245
RPL7A,0.0017651949798059322,0.0011201162764282848,154036480.33724314,246
PAM,0.0017540844978835438,0.0004070886307865329,14605045.468519425,247
PLXNB2,0.0017525439060931559,8.27891661225702e-05,15768284.036202664,248
PQBP1,0.0017456244490284076,0.0005634928405294434,16821838.086224005,249
OVGP1,0.0017288144219613376,0.0012386079841817986,120805930.40445955,250
CRIP1,0.0017158411254701465,0.0010580383471423416,39868906.75217713,251
TMEM59,0.0017140720369372192,0.0010537741335359288,15279182.829368506,252
PEA15,0.0017109232752853148,6.131237579150125e-05,32000274.94610574,253
PDIA3,0.0017043356841610249,0.00019462487601432302,27866695.756247226,254
CANX,0.001697507930106417,0.0005001882335878361,40205720.24619289,255
MCL1,0.0016969128175232055,0.0015270677106948092,15018324.077961104,256
ITM2C,0.0016942829216246601,0.0008924322712592819,68307856.74824116,257
CTGF,0.001688120689472292,0.00048389024470571257,32777445.0592797,258
COX4I1,0.001678549470319871,0.0019242452889299143,18457179.904770438,259
GAPDH,0.0016780686442902381,0.0015498075878978594,2859039362.2692513,260
CLDN4,0.0016737110401378675,0.0016747064306752975,41408112.15419034,261
CRIP2,0.0016732778496186568,0.0008151594726521643,14052814.996959792,262
ATP5G3,0.001672382677601339,0.0006181234660855049,14175184.105164161,263
COL5A2,0.0016606314316571762,0.0008219777278418936,15251255.126478162,264
CLIC1,0.001653449018329647,0.0005930038964745312,13925460.239194933,265
C4A,0.0016497789951002925,0.00035662111586721827,252463085.0196991,266
HLA-DQB1,0.0016344577362163344,0.0017851976453344175,21820784.919461425,267
MARCKSL1,0.0016280254240199617,0.0006023799225371058,19988847.59788153,268
RPL13A,0.0016171290090252796,0.0007610981542545785,201295940.48060584,269
LAMC1,0.0016137741291312312,0.0006426657223590458,16619218.24211682,270
MMP2,0.0016057037028828771,0.0008872088275061474,28188798.16016843,271
RPL22,0.0016046564137398725,0.000703336373940906,35984002.95838166,272
RPS11,0.0016005070836006144,0.00045419658184271444,528700598.2340571,273
TPM4,0.0015979411510149979,0.0013730150554612005,205051374.73101017,274
ITGB4,0.0015963474726258195,0.0005104892745974952,18044795.47050268,275
ITGA3,0.0015958171712730335,0.0009031311771111954,15099950.325962039,276
B2M,0.0015937809216456267,0.0009895116264981613,1243682322.5753613,277
BGN,0.00158567712962123,0.0008541657280350719,68146468.71161368,278
CYP4B1,0.0015810301910183487,0.0008493442660006623,15150780.593308492,279
TUBB2C,0.0015766371296856406,0.0009397179717217709,22318935.73602685,280
RNASE1,0.0015717373019519072,0.0005382546181832696,41734850.999228165,281
MDK,0.0015698043759954218,0.00041149179014782927,154226590.66729724,282
ENO1,0.001567472202179613,0.0005622221631366666,377312813.4652126,283
DSG2,0.001565331911906705,0.0007022371761768672,28036020.737824585,284
SYNGR2,0.001557510497814784,0.0007527489660236629,14496080.761756364,285
ALPPL2,0.0015516578587644742,0.00030882481977454986,20486017.786503546,286
VTCN1,0.001543344955045922,0.0002236562632030736,53655337.190313496,287
HSPD1,0.0015417025499843192,0.0008304237095528504,21628139.16117839,288
TIMP1,0.0015392153910790691,0.0009510743990437599,76969169.15243523,289
XIST,0.0015317083722799095,0.0009153895702949561,17072104.16514208,290
STAT1,0.001522102924849282,0.00021661599180791108,25335707.82237468,291
TAGLN2,0.001521103578306078,0.0008397043551015024,39184522.50047463,292
LUM,0.0015179194264813784,0.0013117969353215765,54329536.821624875,293
ISG15,0.001516198736275117,0.0003075428782993554,32609246.71466943,294
PSAP,0.0015154397653739805,0.0008718190453381595,145819825.88409582,295
FTH1,0.001515107288124134,0.001137623830088818,1821100236.3134353,296
CTSB,0.0015029833798826965,0.0011639286251522844,267980249.88304356,297
LAPTM4A,0.001495552028719085,0.0011733952603338578,14213554.517280757,298
RPS5,0.0014941167542595144,0.0007695523309092187,453327208.8263311,299
FOXP4,0.0014880852896969664,0.0008158155008571049,18549890.21280088,300
CFL1,0.0014870695381225352,0.0011831094893445054,63112816.85820007,301
RPS3A,0.0014754643432846467,0.0010973858262877377,58326069.60834981,302
PODXL,0.0014725148696682368,0.0008038065393196063,38294967.84071638,303
RPL37,0.0014675780302954363,0.0004755572250241878,273870270.60786813,304
STMN1,0.0014653702227020735,0.0010112627581491942,23625511.014953688,305
COL3A1,0.0014612483059269956,0.0006107109886397717,3066024963.657324,306
CALM2,0.0014608507198808542,0.000926662633016857,64415367.632612966,307
ANXA2,0.0014596640800793289,0.00108772529220669,53096546.131275356,308
ZFP36,0.0014548299720309093,0.001895390787594775,21353741.550722387,309
NOTCH3,0.00145076028327116,0.0007474696738316194,21830787.404796373,310
HSPB1,0.0014438934584764262,0.0012163027677832346,77041782.74479602,311
HSP90B1,0.0014432751434718318,0.0010475018904682614,80202952.86002441,312
CLDN1,0.0014424526061848555,0.0006504652644867985,15327787.098429644,313
ACTG1,0.0014420708946853223,0.0011787433583917877,727819970.8290782,314
CAP1,0.0014414347038415216,0.0005610024800282797,26391954.76475582,315
CEL,0.0014339104899686532,0.0006865513260847818,64749008.23331641,316
EEF2,0.0014282195022684357,0.0010596179067412204,462776172.4205034,317
S100A16,0.0014276050571722402,0.0002988726745084202,17427297.870577823,318
EIF4A1,0.0014232584026787273,0.0008135150568351626,26187061.16144741,319
KRT18,0.0014106505288767792,0.0009488363708250964,131772006.57891092,320
ANXA1,0.0014070391087468584,0.0005296859458807715,23910826.150620677,321
LTBP4,0.001386967602996751,0.00045037187299729915,39348236.93173088,322
EIF4G1,0.0013754597400122582,0.00041929486844288386,15894047.602028461,323
HLA-A,0.0013586566682050737,0.0003253689920280397,285089905.8538091,324
BHLHE41,0.0013534134036831947,0.001311310730711148,38147890.83621486,325
HLA-B,0.0013512079937924605,0.0008070843225109216,839920012.3872521,326
IFITM1,0.0013406087130166386,0.00027703298130060173,128071187.63349947,327
HLA-DRB1,0.0013386542030924705,0.0011424258373878408,47843743.22865671,328
RPLP1,0.0013360498762336195,0.0006815992660641609,786077461.9069636,329
RPL27,0.0013262425670582604,0.0009436869466858463,123081704.9135834,330
FBL,0.0013257677735635427,0.0004956041451659794,35470461.75215212,331
SOD2,0.001315044556724115,0.00026962354639757804,17151652.98751798,332
OAZ1,0.0013095576414586339,0.0009276896477743107,32513538.294386357,333
RPS13,0.0013054899762970102,0.00038240133778308973,36729950.559730686,334
S100A4,0.001301780757894467,0.0010475804109397872,71156512.30768238,335
UBC,0.0013014851581808703,0.0004991094232981988,127294741.62471186,336
PFN1,0.0013004613790655228,0.0009727142813955374,58817465.9352302,337
HSPA8,0.0012869350991570009,0.0009412300270711971,118466253.4066074,338
PRKCSH,0.0012791375558914998,0.0008785465845705985,28249855.40602412,339
S100A11,0.001276311127778611,0.0007668330337581895,34565338.34793019,340
SERPING1,0.001273297027300179,0.0002767566727750707,29604644.22609908,341
RPL11,0.0012704581355558102,0.001018319842495923,127739768.24438971,342
LGALS1,0.0012674244584442776,0.0006356926246583646,25591374.343893837,343
ADAM6,0.001265978306573861,0.0006808098105977895,2031919318.2540903,344
S100A6,0.0012639927337534647,0.0006414732449995205,1549033152.3968413,345
LYPD1,0.001262864088825114,0.0009482650629536686,43748681.8497315,346
RPL10,0.001259021888900586,0.0003231552603106549,247105342.21821192,347
ELF3,0.0012565553151278185,5.168414481624442e-05,26652929.81899111,348
RPS14,0.0012509947948485904,0.0010040671080688197,453809187.13181174,349
SST,0.0012499847208125787,0.0004912136390682434,33036815.769951157,350
HSP90AA1,0.0012483170782846581,0.0006415284510099521,156902738.93776062,351
AEBP1,0.0012423419648523455,0.0004535951911015514,68024415.39546944,352
RPL4,0.0012346967675629364,0.0010834193297414175,392992709.9681661,353
NME2,0.0012277448426911773,0.0012362782232959884,60150695.13204627,354
RPL18A,0.001226842853965326,0.00025687118126059214,49092862.947529875,355
NDUFB9,0.001219504433280839,0.0011289825660725553,42170616.980611354,356
CFB,0.0012143629903564681,0.0004519610276518341,261206483.77476248,357
SLC38A2,0.001209416524273378,0.0009219063163910798,13620695.823907578,358
DPYSL3,0.0012065492372666726,0.0004506809167580702,33832894.791505285,359
RPL5,0.0012063618667087733,0.0008981936814465559,402860638.40613335,360
PTMS,0.0011956876881119513,0.0015276398758627692,35708833.54696049,361
IFITM2,0.0011952025210763086,0.0007484814613862037,13041392.083951782,362
YWHAZ,0.0011907364487504337,0.0010516182371741434,130085912.10142982,363
SPON1,0.0011890125272273813,0.0008119832694149941,290876242.5480567,364
CPA2,0.001186124197192055,0.0006604130464530759,45000746.76211217,365
RPL10A,0.0011750093473509831,0.0005574108024455833,240222960.09118968,366
PAK1,0.0011735735931438617,0.0004896600989727542,16171408.67845098,367
RPL15,0.001172074398884058,0.0002820454804019865,290810339.4981417,368
HLA-DPB1,0.0011718865048116454,0.0004958029963448381,15257321.537754873,369
RPL30,0.001170176472544527,0.0001235361992366937,403022905.06167,370
PEG10,0.0011621859073268498,0.0010447761519893682,13991844.82685343,371
NOTUM,0.0011612779052646274,0.000779325340810423,17512120.944557972,372
CLNS1A,0.0011474644005605632,0.0010326870590512,13697365.960415266,373
APEX1,0.0011449209931949087,0.0006438518524684128,15484553.59966914,374
RPS3,0.0011432749871503627,0.00023620009545161668,2018313498.605081,375
RPS10,0.001140408184728838,0.0004679372073906106,100342585.70138985,376
RPL28,0.001140248906398504,0.0009929930267352505,252263595.70661938,377
CD81,0.0011389107668284264,0.000729826852629816,110264087.49790373,378
KRT5,0.0011361001637970652,0.0004595250125522204,116357512.80457336,379
GRINA,0.0011349259988837946,0.0008055582762474396,15003485.466688963,380
CD59,0.0011316070118760101,0.0006983965984180158,18400852.35695089,381
RPL23,0.0011294873547259947,0.0003942161907366486,80467894.8291144,382
HDGF,0.0011234809836483358,0.0013774011347108337,18448113.3863965,383
PPP1R1B,0.0011215548417499513,0.00034479074706508637,14176893.681404395,384
PHB2,0.0011172668732288013,0.00038441525808840317,15166366.051342724,385
RPS2,0.0011148547426084049,0.0009581302366312738,133499747.70397826,386
KLK10,0.0011131573640113116,0.0003811143953133742,18329244.2647825,387
NPM1,0.0011051940541252359,0.0003458911950612269,54184596.79466377,388
NDUFS5,0.001104933265632176,0.00035400870667209064,19640163.46458261,389
CRABP1,0.001102829033722056,0.0004713602416424809,47189065.13138802,390
UBB,0.0011001392287297072,0.0009490463118472379,86433451.35256235,391
CYC1,0.0010978781991305816,0.0005273777881537365,23923657.75353964,392
NEAT1,0.00109277112862495,0.00044209491014588647,86266568.50819454,393
DLK1,0.0010877006744519453,0.0006988453631007986,205146639.8889292,394
GSTP1,0.0010702413071365057,0.00041695395397011364,55837827.546361536,395
TSC22D1,0.0010592985040754938,0.000722680794543495,14923830.817131307,396
