gene,mean_importance,std_importance,rank
feature_53,0.0012063618667087733,0.0008981936814465559,360
feature_273,0.0011956876881119513,0.0015276398758627692,361
feature_499,0.0011952025210763086,0.0007484814613862037,362
feature_122,0.0011907364487504337,0.0010516182371741434,363
feature_63,0.0011890125272273813,0.0008119832694149941,364
feature_240,0.001186124197192055,0.0006604130464530759,365
feature_81,0.0011750093473509831,0.0005574108024455833,366
feature_420,0.0011735735931438617,0.0004896600989727542,367
feature_64,0.001172074398884058,0.0002820454804019865,368
feature_442,0.0011718865048116454,0.0004958029963448381,369
feature_52,0.001170176472544527,0.0001235361992366937,370
feature_480,0.0011621859073268498,0.0010447761519893682,371
feature_402,0.0011612779052646274,0.000779325340810423,372
feature_490,0.0011474644005605632,0.0010326870590512,373
feature_435,0.0011449209931949087,0.0006438518524684128,374
feature_16,0.0011432749871503627,0.00023620009545161668,375
feature_150,0.001140408184728838,0.0004679372073906106,376
feature_78,0.001140248906398504,0.0009929930267352505,377
feature_142,0.0011389107668284264,0.000729826852629816,378
feature_135,0.0011361001637970652,0.0004595250125522204,379
feature_450,0.0011349259988837946,0.0008055582762474396,380
feature_386,0.0011316070118760101,0.0006983965984180158,381
feature_162,0.0011294873547259947,0.0003942161907366486,382
feature_384,0.0011234809836483358,0.0013774011347108337,383
feature_472,0.0011215548417499513,0.00034479074706508637,384
feature_445,0.0011172668732288013,0.00038441525808840317,385
feature_118,0.0011148547426084049,0.0009581302366312738,386
feature_387,0.0011131573640113116,0.0003811143953133742,387
feature_213,0.0011051940541252359,0.0003458911950612269,388
feature_373,0.001104933265632176,0.00035400870667209064,389
feature_234,0.001102829033722056,0.0004713602416424809,390
feature_157,0.0011001392287297072,0.0009490463118472379,391
feature_337,0.0010978781991305816,0.0005273777881537365,392
feature_159,0.00109277112862495,0.00044209491014588647,393
feature_85,0.0010877006744519453,0.0006988453631007986,394
feature_206,0.0010702413071365057,0.00041695395397011364,395
feature_454,0.0010592985040754938,0.000722680794543495,396
feature_203,0.001046573618554044,0.0004801987671938178,397
feature_222,0.001037083534307667,0.0008896827733456312,398
feature_381,0.0010325379662169132,0.00036623585896439984,399
feature_310,0.0010317900899794912,0.0009589936426677516,400
feature_12,0.0010294051889665923,0.0008646284285625896,401
feature_433,0.0010245690157838071,0.0014153261009227664,402
feature_116,0.0010150034379735131,0.0006697089999995287,403
feature_31,0.001014476919898554,0.0007012746231180725,404
feature_146,0.0010140227066532022,0.0009574175829931472,405
feature_104,0.0010138726304490995,0.000420702239899007,406
feature_158,0.0010097200772627437,0.00040756560504543273,407
feature_33,0.001008062611494266,0.0007790436977185367,408
feature_133,0.0010003505058995442,0.0007420016163234023,409
feature_187,0.0009991433723106624,0.0008273770363160153,410
feature_335,0.0009942958332963441,0.0007512727888637911,411
feature_186,0.0009924049730017437,0.0002990995711250159,412
feature_425,0.0009856534687139992,0.0009407964817182242,413
feature_315,0.0009850108921352614,0.0006667321738770878,414
feature_21,0.000981177036977608,0.00057243016387874,415
feature_173,0.000980147855489513,0.0011581583515163471,416
feature_418,0.000979423026234623,0.0005345072273820013,417
feature_32,0.0009781442986663252,0.0003880253927753246,418
feature_152,0.0009781388549610665,0.00044572681289627885,419
feature_164,0.000974896586393112,0.0006915026682771945,420
feature_307,0.0009655050191645859,0.0005300282717156493,421
feature_412,0.0009597636345317009,0.00043494831424064403,422
feature_136,0.0009583573898303753,0.0005945344473540892,423
feature_396,0.0009498959674715204,0.0006766213921948244,424
feature_13,0.0009468151084638929,7.324172145967126e-05,425
feature_236,0.0009460334036918968,0.00037142284183877664,426
feature_91,0.0009318259489600328,0.000668978226757845,427
feature_397,0.0009282385752351173,0.0006130528511157029,428
feature_197,0.0009273567754764624,0.00019362815781732548,429
feature_464,0.0009240550160345297,0.000947243548225036,430
feature_149,0.0009205557769135192,0.0012435051203316242,431
feature_156,0.0009188779598380941,0.00020061751139705453,432
feature_233,0.000905818930059042,0.0007670129454471065,433
feature_210,0.0008909914062992084,0.0006367531878790991,434
feature_269,0.0008883612949084225,0.0006775611084936984,435
feature_37,0.0008819922627336003,0.0005708805932660171,436
feature_44,0.0008761041370459279,0.0007434552645706321,437
feature_51,0.0008701925794765837,0.0003156303242063479,438
feature_220,0.000860444435356543,0.0002795438586581915,439
feature_24,0.0008578326603174372,0.0003851327997786278,440
feature_476,0.000857774505885239,0.0005524247747671408,441
feature_228,0.0008571016393396127,0.000488593618514393,442
feature_194,0.0008532655474109428,0.0007406799056004715,443
feature_361,0.0008458131012775608,0.0004649472854882873,444
feature_19,0.0008436140355404222,0.0003466307643905483,445
feature_245,0.0008195978548205029,0.0010718979369079241,446
feature_498,0.0008189266303704744,0.0005061337929000016,447
feature_23,0.0008170883419655315,0.0010862143941015594,448
feature_405,0.0008151700843097278,0.0007039098521985815,449
feature_437,0.0008084037428329419,0.00024257526443595664,450
feature_364,0.0008054182674570003,0.0011390334372207288,451
feature_155,0.0008015367541957665,0.00056692287094201,452
feature_226,0.0007921638849501378,0.0001422121755202406,453
feature_147,0.0007843710683560044,0.0004917169020155878,454
feature_174,0.0007825031697198936,0.00046368552415705953,455
feature_94,0.0007782307969414113,0.00036607899779314925,456
feature_474,0.000771497930279921,0.00029942148550511427,457
feature_209,0.000759954385708556,0.0005561307076574913,458
feature_427,0.0007574107283186009,0.0004823450256025284,459
feature_2,0.000753842813076428,0.0003655513754472534,460
feature_87,0.0007517805808999883,0.0004371708637544454,461
