gene,importance
feature_145,0.00037245334684504744
feature_383,0.000371104406154155
feature_147,0.00036382283946848016
feature_19,0.000358370201037976
feature_101,0.00035685805422647644
feature_264,0.0003559814635960594
feature_166,0.0003525248987734974
feature_199,0.0003517329753203321
feature_412,0.0003475879858466359
feature_219,0.000331017023108581
feature_292,0.00032099500548625996
feature_24,0.0003159241035017455
feature_121,0.00031247967465707185
feature_324,0.00029393298562815977
feature_71,0.00027416331994645053
feature_464,0.0002740289243477743
feature_335,0.00025353431242685216
feature_174,0.00024891342956505455
feature_228,0.00024774124131206164
feature_488,0.00024361058878770642
feature_359,0.00023773861309634264
feature_175,0.0002354294478527607
feature_357,0.00023253685914819251
feature_397,0.00022651507340650578
feature_28,0.0002228116710875331
feature_212,0.0002223410134908599
feature_58,0.00022152525909621633
feature_449,0.0002188256573369626
feature_269,0.00020063771451042021
feature_422,0.00019633934995354611
feature_178,0.0001925116993610149
feature_9,0.00019208028561476685
feature_270,0.00019128639940953267
feature_392,0.00018594381010488508
feature_190,0.00018383838383838425
feature_21,0.0001791232497727155
feature_170,0.00017263473641244983
feature_369,0.0001715265866209255
feature_296,0.00016867994947878257
feature_475,0.0001630217086653351
feature_295,0.0001604877829449999
feature_161,0.00016044502423353315
feature_332,0.00015549021077920723
feature_184,0.00015384980130688192
feature_91,0.00013482390610342442
feature_116,0.0001272591610014936
feature_498,0.00012638151161527525
feature_160,0.00011147433801896075
feature_129,0.00011115250869349256
feature_405,0.00011095041322313889
feature_142,0.00010720411663807856
feature_6,0.0001004458566084172
feature_12,9.951653401826834e-05
feature_395,9.359089547768836e-05
feature_340,9.209857723577234e-05
feature_444,8.957954404691108e-05
feature_33,8.85920377969999e-05
feature_195,8.530052458433337e-05
feature_306,8.260682380798659e-05
feature_227,8.080808080808135e-05
feature_37,8.031232571109873e-05
feature_239,7.748825935464372e-05
feature_153,7.727652464494563e-05
feature_476,7.673958052029927e-05
feature_351,7.673263010090672e-05
feature_222,7.003564313981154e-05
feature_481,6.815968841285341e-05
feature_490,6.66854513008366e-05
feature_297,5.0505050505051427e-05
feature_396,4.837852206273331e-05
feature_480,4.63510532877287e-05
feature_163,4.155401175558945e-05
feature_63,4.086845466155966e-05
feature_148,3.816238598847302e-05
feature_214,3.5191668911034075e-05
feature_364,2.6448507647623322e-18
feature_48,2.4243916997242834e-18
feature_73,1.2383320708083582e-18
feature_210,1.0335439293153845e-18
feature_399,9.801719763034635e-19
feature_70,8.830217830982486e-19
feature_246,8.494823794629998e-19
feature_349,8.034176038967042e-19
feature_7,7.609560757805628e-19
feature_194,7.141237645502683e-19
feature_45,5.149154802056679e-19
feature_89,4.1576253185551293e-19
feature_310,3.2895497025930707e-19
feature_132,2.74129141882756e-19
feature_100,2.558538657572386e-19
feature_40,2.492951429665474e-19
feature_408,2.2582945614534457e-19
feature_23,1.4022851791868348e-19
feature_146,1.2930619900129993e-19
