gene,importance,rank
TUBA1B,0.00146195461146501,217
TNFSF10,0.0014593006132489449,218
HLA-A,0.0014512736105450174,219
HLA-DPB1,0.00142556719729561,220
ATP5A1,0.0014117585025775372,221
SPINT2,0.0014017169543845535,222
CAPS,0.0014008740628628118,223
SCGB2A1,0.0013940411524684547,224
RPS5,0.001393392751083927,225
MMP11,0.0013894570118622343,226
RPL18A,0.0013887376195911882,227
CD59,0.001380447809653898,228
ALPPL2,0.001343566965392188,229
ELF3,0.00132632321701389,230
NDUFB11,0.001323811478096557,231
YBX1,0.0013199907400541925,232
RPS13,0.0013152287588193586,233
GPX3,0.0013058405426238488,234
ACTB,0.0012927993599890389,235
DLK1,0.0012535523348172963,236
APOL1,0.0012521425530018513,237
RPL15,0.001251237176997905,238
UBC,0.0012460794288740127,239
FOS,0.001236911319912304,240
COL3A1,0.0012359777817677212,241
ATP5B,0.0012332096138113386,242
STAT1,0.0012332018697049408,243
VTCN1,0.001229147929840801,244
B2M,0.0012276628998942206,245
IGFBP4,0.0012264832982219708,246
C1S,0.0012259425614258726,247
ORMDL3,0.0012175412379728029,248
SORL1,0.001216555290735421,249
APEX1,0.001204203461525979,250
EGR1,0.00120226982325498,251
AEBP1,0.001193004468680997,252
PUF60,0.0011820869237908645,253
UCP2,0.001151162468823508,254
RPL23,0.0011485990330069066,255
HLA-E,0.0011455880319643963,256
MDK,0.0011352563907346589,257
CLDN1,0.0011345729308846974,258
OVGP1,0.0011199601791936355,259
RPS3,0.001119249946223908,260
FAM60A,0.0011121856643158273,261
IGFBP2,0.0010780085299316085,262
CTGF,0.001076550150208387,263
TNFAIP2,0.0010599033478209524,264
RPL10,0.0010596447158580525,265
C12orf35,0.001053291751451839,266
IGJ,0.0010483388645610749,267
IFITM1,0.0010429503111617383,268
EIF4G1,0.0010426274595299078,269
EEF1A1,0.0010328704026798833,270
RPS23,0.001032267579046718,271
RPS18,0.0010284127192687665,272
S100A16,0.001026609237672075,273
RPL30,0.001019357608926818,274
LRP1,0.001013736945334087,275
S100A4,0.0010105175558849633,276
CHI3L1,0.0010030782595737873,277
RPL12,0.0010029815146094254,278
GSTP1,0.0009940252498904173,279
HLA-DRB5,0.0009844130460923686,280
EIF4A2,0.0009824205934881938,281
MYL9,0.000981726819385953,282
HMGN2,0.0009749552731495503,283
CRABP1,0.0009713786685704312,284
MSN,0.0009695537211749591,285
TMBIM6,0.0009645062533353134,286
PKM2,0.000963871997223329,287
TAPBP,0.0009560469225483405,288
S100A11,0.0009541423053676776,289
SERPINH1,0.0009487646454646219,290
NOTUM,0.0009305311657603855,291
P4HB,0.0009281360008976953,292
SULF1,0.0009258333949294085,293
SLC34A2,0.0009076873621506901,294
ANXA2,0.0009042999212482881,295
CLIC1,0.000903379106909544,296
RPS12,0.0008981351430985032,297
SERPING1,0.0008841463414634179,298
PDIA4,0.000881002665758412,299
CRIP1,0.0008791612902453628,300
ATP5G3,0.0008693327935381694,301
RNASE1,0.0008597665515864556,302
EIF3K,0.0008578520970811455,303
KRT5,0.0008569971705826143,304
KRAS,0.0008508985621880178,305
